0,1
*Lisp,1986
A+_(programming_language),1988
ABC_(programming_language),1987
AIMACO,1959
ALF_(proof_assistant),1992
ALGOL,1958
ALGOL_58,1958
ALGOL_60,1960
ALGOL_68,1968
ALGOL_W,1966
ALGOL_Y,1963
AMPL,1985
APL_(programming_language),1966
ARITH-MATIC,1955
ARPANET,1969
ATS_(programming_language),2013
AWK,1977
ActionScript,1998
Active_Oberon,1998
Active_Server_Pages,1996
Actor_model,1973
Ada_(programming_language),1980
Agda_(programming_language),2007
AgentCubes,2006
AgentSheets,1991
Akka_(toolkit),2009
Albatross_(programming_language),2015
Alef_(programming_language),1992
Alice_(programming_language),2000
Alma-0,1997
Apache_Groovy,2003
AppleScript,1993
Argus_(programming_language),1982
Asm.js,2013
AssemblyScript,2017
Assembly_language,1947
AtScript,2014
AutoLISP,1986
BASIC,1964
BASIC-PLUS,1970
BBN_LISP,1966
BCPL,1967
BETA_(programming_language),1987
B_(programming_language),1969
Bash_(Unix_shell),1989
Basic4ppc,2005
BeanShell,1999
Begriffsschrift,1879
Bluespec,2003
Boo_(programming_language),2003
Bourne_shell,1979
Bs_(programming_language),1980
Burroughs_MCP,1961
Burroughs_large_systems,1962
C*,1987
C++,1985
C--,1997
C/AL,2016
CAL_(programming_language),1967
CLIPS,1985
CLU_(programming_language),1975
CMS-2,1968
COBOL,1959
COMAL,1975
COMIT,1957
COMTRAN,1957
CORAL,1964
COWSEL,1964
CPL_(programming_language),1963
C_(programming_language),1972
C_Sharp_(programming_language),2000
C_shell,1978
Caché ObjectScript,1997
Cadence_SKILL,1990
Caml,1985
Carbon_(programming_language),2022
Catrobat,2010
Ceylon_(programming_language),2011
Chapel_(programming_language),2009
Chisel_(programming_language),2012
Clean_(programming_language),1987
Clojure,2007
CobolScript,1999
Cobra_(programming_language),2006
CoffeeScript,2009
Common_Lisp,1984
Common_Lisp_Object_System,1988
Communicating_sequential_processes,1978
Component_Pascal,1997
Concurrent_Euclid,1980
Constraint_Handling_Rules,1991
Contextual_Query_Language,1988
Control_Language,1978
Cool_(programming_language),1996
Coq,1989
Couchbase_Server,2010
Cray_XMT,2005
Croquet_OS,2004
Crystal_(programming_language),2014
Curry_(programming_language),1997
Cyc,1984
Cyclone_(programming_language),2002
Cω,2003
DARSIMCO,1956
DIGITAL_Command_Language,1970
DOPE,1962
D_(programming_language),2001
Dafny,2009
Dart_(programming_language),2011
Dartmouth_ALGOL_30,1961
Dartmouth_BASIC,1964
Dartmouth_Time_Sharing_System,1964
Datalog,1986
Dragon,2018
Dylan_(programming_language),1992
ECMAScript,1997
EGL_(programming_language),2005
EISPACK,1970
EXEC_2,1970
E_(programming_language),1997
Ease_(programming_language),1991
Ed_(text_editor),1973
Eiffel_(programming_language),1986
Elixir_(programming_language),2012
Elm_(programming_language),2012
Emacs_Lisp,1985
Epigram_(programming_language),2004
Erlang_(programming_language),1986
Escher_(programming_language),1990
Etoys_(programming_language),1996
EuLisp,1990
Euclid_(programming_language),1970
Euler_(programming_language),1965
Executive_Systems_Problem_Oriented_Language,1966
Extensible_Application_Markup_Language,2008
F*_(programming_language),2013
FACT_(computer_language),1959
FLOW-MATIC,1955
FL_(programming_language),1989
FOCAL_(programming_language),1968
FP_(programming_language),1977
F_Sharp_(programming_language),2005
Factor_(programming_language),2003
Fantom_(programming_language),2005
Flix_(programming_language),2016
Forth_(programming_language),1970
Fortran,1957
Fortress_(programming_language),2006
FreeBASIC,2004
GNU_Octave,1993
GRASS_(programming_language),1974
GT.M,1986
GW-BASIC,1983
Gambas,1999
Gambit_(Scheme_implementation),1988
General_Algebraic_Modeling_System,1976
Generics_in_Java,2004
Genie_(programming_language),2008
Go_(programming_language),2009
Google_Native_Client,2011
Gosu_(programming_language),2002
HTML,1993
Hack_(programming_language),2014
Haskell,1990
Haxe,2005
Hibernate_(framework),2001
High_Performance_Fortran,1993
Hop_(software),2006
Hope_(programming_language),1970
HotSpot_(virtual_machine),1999
Hy,2013
HyperCard,1987
HyperTalk,1987
IBM_BASIC,1981
IDL_(programming_language),1977
IMP_(programming_language),1965
ISLISP,1997
ISWIM,1966
Icon_(programming_language),1977
Id_(programming_language),1975
Idris_(programming_language),2007
Information_Processing_Language,1956
Interlisp,1968
Io_(programming_language),2002
Ioke_(programming_language),2009
Isabelle_(proof_assistant),1986
JOSS,1963
JOVIAL,1960
JS++,2011
JSON,2000
J_(programming_language),1990
Jakarta_Persistence_Query_Language,2009
Jakarta_Server_Pages,1999
JavaScript,1995
Java_(programming_language),1995
Joule_(programming_language),1996
Joy_(programming_language),2001
Julia_(programming_language),2012
K_(programming_language),1993
Kawa_(Scheme_implementation),1996
Kent_Recursive_Calculator,1981
KornShell,1983
Kotlin_(programming_language),2011
LFE_(programming_language),2008
LINPACK,1970
LLVM,2003
LPMud,1989
LYaPAS,1964
Language_Integrated_Query,2007
Laning_and_Zierler_system,1952
Lasso_(programming_language),1995
Le_Lisp,1981
Lean_(proof_assistant),2013
Lennart_Augustsson,1998
Limbo_(programming_language),1995
Lingo_(programming_language),1989
Lisp_(programming_language),1958
Lisp_Machine_Lisp,1976
LiveCode,1993
LiveScript,2011
Logo_(programming_language),1967
Logtalk,1998
Lua_(programming_language),1993
Lucid_(programming_language),1976
Lustre_(programming_language),1991
MATH-MATIC,1957
MATLAB,1970
MDL_(programming_language),1971
ML_(programming_language),1973
MSX_BASIC,1983
MUMPS,1966
Maclisp,1966
Mary_(programming_language),1971
Max_(software),1985
Mercury_(programming_language),1995
Mesa_(programming_language),1976
Microsoft_BASIC,1975
Microsoft_Excel,1985
Microsoft_Power_Fx,2021
Microsoft_Small_Basic,2008
Mirah_(programming_language),2008
Miranda_(programming_language),1985
Modula,1975
Modula-2,1978
Modula-2+,1984
Modula-3,1988
MultiLisp,1980
NEWP,2015
NekoVM,2005
Nemerle,2003
NetLogo,1999
NetRexx,1996
Newspeak_(programming_language),2006
Newsqueak,1980
NewtonScript,1993
Nial,1981
Nim_(programming_language),2008
Nu_(programming_language),2007
NumPy,1995
OCaml,1996
OPS,1970
Oaklisp,1986
Oberon-2,1991
Oberon_(programming_language),1987
ObjVlisp,1984
Object-Oriented_Turing,1991
Object_Oberon,1989
Object_Pascal,1986
Object_REXX,1988
Objective-C,1984
Objective-J,2008
Occam_(programming_language),1983
Opa_(programming_language),2011
OpenLisp,1988
Orwell_(programming_language),1984
Oxygene_(programming_language),2005
Oz_(programming_language),1991
PACT_(compiler),1954
PDF,1993
PHP,1995
PL-6,1970
PL/0,1976
PL/8,1970
PL/I,1964
PL/M,1973
PL/SQL,1995
PL/pgSQL,1998
PLEX_(programming_language),1970
POP-2,1970
ParaSail_(programming_language),2009
Pascal_(programming_language),1970
Perl,1987
Pizza_(programming_language),1996
Plankalkül,1948
Planner_(programming_language),1969
Polymorphic_(programming_language),1969
Polyphonic_C_Sharp,2002
PostScript,1982
PowerShell,2006
Processing,2001
Profile_Scripting_Language,1998
Programming_Language_for_Business,1972
Progress_Chef,2009
Project_Jupyter,2014
Project_Verona,2019
Prolog,1972
Puppet_(software),2005
PureScript,2013
Pure_Data,1996
Pyomo,2008
Python_(programming_language),1991
QB64,2007
QBasic,1991
QML,2009
Q_(programming_language_from_Kx_Systems),2003
Qore_(programming_language),2006
Qt_(software),1995
QuickBASIC,1985
RPL_(programming_language),1984
R_(programming_language),1993
Racket_(programming_language),1995
Raku_(programming_language),2015
Ratfor,1976
Rebol,1997
Red_(programming_language),2011
Redux_(JavaScript_library),2015
Reverse_Polish_notation,1924
Rexx,1979
Ring_(programming_language),2016
Ruby_(programming_language),1995
Rust_(programming_language),2010
S3_(programming_language),1980
SAC_(programming_language),1994
SASL_(programming_language),1972
SETL,1969
SETLX,2012
SIMSCRIPT,1962
SISAL,1983
SNOBOL,1962
SP/k,1974
SPARK_(programming_language),1999
SPARQL,2008
SQL,1974
SQL/PSM,1996
SUPER_BASIC,1968
SYMPL,1970
S_(programming_language),1976
Sather,1990
Scala_(programming_language),2004
Scheme_(programming_language),1975
Schoonschip,1967
Scratch_(programming_language),2003
Sed,1974
Seed7,2005
Self_(programming_language),1987
SenseTalk,1992
Simula,1962
Sketchpad,1963
Smalltalk,1972
Snap!_(programming_language),2011
Speakeasy_(computational_environment),1964
Speedcoding,1953
Squeak,1996
Squirrel_(programming_language),2003
Stackless_Python,1998
Standard_ML,1983
StarLogo,2001
Steelman_language_requirements,1978
Strand_(programming_language),1989
Strongtalk,2002
Structured_text,1993
SuperCollider,1996
Superplan,1951
Swift_(programming_language),2014
SystemVerilog,2002
TELCOMP,1965
TMG_(language),1963
T_(programming_language),1982
Tcl,1988
Tea_(programming_language),1997
Tk_(software),1991
Turing_(programming_language),1982
Turing_Plus,1987
Turtlestitch,2015
TypeScript,2012
UCSD_Pascal,1977
UNICODE_(programming_language),1980
Unix_shell,1971
VAX,1977
VHDL,1980
Vala_(programming_language),2006
Verilog,1984
Vilnius_BASIC,1986
Visual_Basic_(classic),1991
Visual_Basic_.NET,2001
Visual_J++,1996
Visual_J_Sharp,2002
Visual_Prolog,2008
Vue.js,2014
WebAssembly,2017
Whiley_(programming_language),2010
Windows_Forms,2002
Wolfram_Language,1988
Wolfram_Mathematica,1988
XSB,1990
Xojo,1996
YAML,2001
ZPL_(programming_language),1993
Zig_(programming_language),2016
Zonnon,2013
